model,stack,device,flags,load_s,prefill_tps,decode_tps,gbps
qwen3:8b,llamacpp,METAL,"-r 3 llama.cpp reference, default Metal",,357.14,27.27,
qwen3:8b,tinygrad,METAL,"PYTHONPATH=/Users/artur/Documents/tinygrad/.claude/worktrees/upstream-bench upstream/master@2cfb421a8, no-BEAM",1.778,15.91,4.92,26.86
qwen3:8b,tinygrad,METAL,"PYTHONPATH=/Users/artur/Documents/tinygrad/.claude/worktrees/upstream-bench upstream/master@2cfb421a8, no-BEAM",1.698,15.92,4.93,26.90
qwen3:8b,tinygrad,METAL,"PYTHONPATH=/Users/artur/Documents/tinygrad/.claude/worktrees/upstream-bench upstream/master@2cfb421a8, no-BEAM",1.693,15.89,4.91,26.82
qwen3:8b,tinygrad,METAL,"task/T0.3-bench-harness@integration-wave1, no-BEAM",1.752,15.82,7.28,39.70
qwen3:8b,tinygrad,METAL,"task/T0.3-bench-harness@integration-wave1, no-BEAM",1.702,15.82,7.29,39.76
qwen3:8b,tinygrad,METAL,"task/T0.3-bench-harness@integration-wave1, no-BEAM",1.704,15.82,7.27,39.68
qwen3:8b,tinygrad,METAL,"JITBEAM=2 IGNORE_BEAM_CACHE=1 task/T0.3-bench-harness@integration-wave1, JITBEAM=2 IGNORE_BEAM_CACHE=1",1.696,43.47,14.44,78.50
qwen3:8b,tinygrad,METAL,PYTHONPATH=/Users/artur/Documents/tinygrad/.claude/worktrees/upstream-bench JITBEAM=2 IGNORE_BEAM_CACHE=1 upstream/master@2cfb421a8,1.712,46.65,12.86,70.00
qwen3:8b,tinygrad,METAL,"2026-08-19 task/bench-window-2@integration-wave1-now, no-BEAM",2.440,14.98,7.39,46.89
qwen3:8b,tinygrad,METAL,"2026-08-19 task/bench-window-2@integration-wave1-now, no-BEAM",2.136,14.97,7.37,46.76
qwen3:8b,tinygrad,METAL,"2026-08-19 task/bench-window-2@integration-wave1-now, no-BEAM",2.122,14.98,7.38,46.82
qwen3:8b,tinygrad,METAL,"JITBEAM=2 IGNORE_BEAM_CACHE=1 2026-08-19 task/bench-window-2@integration-wave1-now, JITBEAM=2 IGNORE_BEAM_CACHE=1",2.133,46.01,14.40,94.09
qwen3:8b,llamacpp,METAL,-r 3 2026-08-19 reference re-check,,356.97,27.07,
qwen3:8b,tinygrad,METAL,"KV_F32=1 2026-08-19 task/bench-window-2@integration-wave1-now, no-BEAM, T1.1b KV_F32=1",2.082,14.96,7.35,49.15
qwen3:8b,tinygrad,METAL,"KV_F32=1 2026-08-19 task/bench-window-2@integration-wave1-now, no-BEAM, T1.1b KV_F32=1",2.105,14.97,7.35,49.14
qwen3:8b,tinygrad,METAL,"KV_F32=1 2026-08-19 task/bench-window-2@integration-wave1-now, no-BEAM, T1.1b KV_F32=1",2.109,14.97,7.35,49.15
qwen3:8b,tinygrad,METAL,"2026-08-19 task/bench-window-2@integration-wave1-now, T1.1b long-context prompt=4096 max-context=8192, fp16 KV (default)",2.109,10.45,5.11,43.45
qwen3:8b,tinygrad,METAL,"2026-08-19 task/bench-window-2@integration-wave1-now, T1.1b long-context prompt=4096 max-context=8192, KV_F32=1",2.126,10.42,5.00,54.65
