run,search_id,ast_key,num_candidates_timed,applied_opts,final_tm_ms,wall_s
A,17,"b""!\xcf\xeb\xae\xdc%\x9e\xf3Ug5\n\xd9\xf4\xded\xad\x8d\xbc\xf0\xf3l\xf0a8,<';\x10u\xc3""",274,[Opt(op=OptOps.LOCAL; axis=0; arg=16); Opt(op=OptOps.GROUP; axis=1; arg=0); Opt(op=OptOps.UNROLL; axis=2; arg=0); Opt(op=OptOps.UPCAST; axis=1; arg=4); Opt(op=OptOps.GROUP; axis=1; arg=4); Opt(op=OptOps.UPCAST; axis=1; arg=2); Opt(op=OptOps.UNROLL; axis=3; arg=0)],,58.743
A,18,b'>\xa3f\x88K`AO\xb8\xa0\xe7\x05%\x10qM\xc1\xf0\x0f\t\xae \x13\x1d\xda\xe7\x90\x02\x9e\x8cT\xa4',251,[Opt(op=OptOps.LOCAL; axis=0; arg=16); Opt(op=OptOps.GROUP; axis=1; arg=0); Opt(op=OptOps.UNROLL; axis=2; arg=0); Opt(op=OptOps.UPCAST; axis=1; arg=4); Opt(op=OptOps.GROUP; axis=1; arg=8); Opt(op=OptOps.UPCAST; axis=1; arg=0)],,45.746
A,19,"b'#\xaeM\x80a\x9e}\xec\xbd\xe3!7\xa4\x19\xd4\xa1,\x85\xe6O]\xab\x18\x82\x10\x92C\x15\xd3;\xac\xed'",180,[Opt(op=OptOps.GROUP; axis=0; arg=8); Opt(op=OptOps.LOCAL; axis=0; arg=4); Opt(op=OptOps.UNROLL; axis=3; arg=0); Opt(op=OptOps.UNROLL; axis=4; arg=0); Opt(op=OptOps.GROUP; axis=0; arg=0); Opt(op=OptOps.GROUP; axis=0; arg=0); Opt(op=OptOps.UPCAST; axis=2; arg=2)],,55.075
A,20,b'$\xe3r\x97\xdaO\xf2\x93\t\xb1\xd8\xcc\x10{@\xf93p\xb7\x1e7\x9f\xa0\xfa\x98\xb2$s\xbf\xa4%\xe9',400,[Opt(op=OptOps.LOCAL; axis=3; arg=16); Opt(op=OptOps.GROUPTOP; axis=0; arg=16); Opt(op=OptOps.UPCAST; axis=0; arg=0); Opt(op=OptOps.UNROLL; axis=2; arg=0); Opt(op=OptOps.UPCAST; axis=3; arg=2); Opt(op=OptOps.UNROLL; axis=1; arg=0); Opt(op=OptOps.UNROLL; axis=1; arg=4); Opt(op=OptOps.SWAP; axis=0; arg=2)],,60.744
A,21,"b'\xc1N\xc1\xc2N\xa6\x95\x03\x03\x11""/[\x01h$3\xa5(~T\xbc\x96\x9a\xd2\x92\xb4\xc04\x1d\x88\xf9'",105,[Opt(op=OptOps.GROUP; axis=0; arg=0); Opt(op=OptOps.UNROLL; axis=3; arg=0); Opt(op=OptOps.UPCAST; axis=0; arg=4); Opt(op=OptOps.UNROLL; axis=2; arg=0); Opt(op=OptOps.GROUP; axis=0; arg=0)],,16.299
A,22,b'\x07Yl\xa5+\xd2\xce`\xc5\x95F\xba\xae\x9a\x8d{\x9ab\x19\x1d\xf0Ht[\xd3\xc5\x91\xf6\x16\xb6\xc21',116,[Opt(op=OptOps.LOCAL; axis=0; arg=16); Opt(op=OptOps.GROUP; axis=2; arg=0); Opt(op=OptOps.UNROLL; axis=4; arg=0)],,22.972
A,23,b'\x1c\x887\x1c\xe2\x16$\xf7\xb1\xd4\x03\x82\x80+\xbd\xb1\x1ff\xc8oL\xf9\xbf\x98\x82p\x03l\xcb\xb5Z\x15',22,[Opt(op=OptOps.LOCAL; axis=0; arg=4)],,0.373
A,24,b'\xe3P\x0b\xab\x94\xdb0CN\x15\xa3\xb6\x03\xebX\x07\x03Bm05\xfc\x1cr\x9e\xdf\xac\xe3;\xf6\xbc\x0c',23,[Opt(op=OptOps.GROUPTOP; axis=0; arg=16); Opt(op=OptOps.UNROLL; axis=1; arg=0)],,0.857
A,25,b')~\x10\xd5\xca\x02\xb9\xfe1t>N\xa0\xd50!\x9d\x02\x85s\xf2Fg5G\x0e\xebQ\x84D3\xfa',22,[Opt(op=OptOps.LOCAL; axis=0; arg=4)],,0.457
A,26,b'\x98 \xc8\x9e\xbf\x99d1\x84h\xdfr\xbfG)\xfc\x9d\x90\xb8\xe6\x00\xde\xc6:f\xdeq\x9b\x8d \xc0\xfb',17,[Opt(op=OptOps.GROUPTOP; axis=0; arg=32)],,0.491
